FID,id,site_id,country,owner,area_name,status,farmtype,prod_method,prod_stage,purpose,species,position_info,point_def,distance_to_shore_m,costal_inland,the_geom,eurostatcode,species_group,species_name,speciesid,x,y
shellfish.4888,178,IE_0859,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,1062.7151392,At sea,POINT (-8.52541314499996 54.2922278020001),F53,Oysters,n.a.,128,-8.52541314499996,54.2922278020001
shellfish.4889,171,IE_0860,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,275.13394679,At sea,POINT (-9.58396559799996 53.792167878),F53,Oysters,n.a.,128,-9.58396559799996,53.792167878
shellfish.4890,172,IE_0861,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,163.5551455,At sea,POINT (-9.65972625099994 53.8926152280001),F53,Oysters,n.a.,128,-9.65972625099994,53.8926152280001
shellfish.4891,173,IE_0862,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,83.28339424,At sea,POINT (-9.58198617199997 53.8481801510001),F53,Oysters,n.a.,128,-9.58198617199997,53.8481801510001
shellfish.4892,174,IE_0863,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,21.48076099,At sea,POINT (-9.57857395599996 53.8464356380001),F53,Oysters,n.a.,128,-9.57857395599996,53.8464356380001
shellfish.4893,183,IE_0864,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,112.79972542,At sea,POINT (-9.66303056299995 53.8886293350001),F53,Oysters,n.a.,128,-9.66303056299995,53.8886293350001
shellfish.4897,179,IE_0868,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,95.40544638,At sea,POINT (-9.67848818899995 53.883579712),F53,Oysters,n.a.,128,-9.67848818899995,53.883579712
shellfish.4898,180,IE_0869,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,119.69414507,At sea,POINT (-9.67668739699997 53.881038673),F53,Oysters,n.a.,128,-9.67668739699997,53.881038673
shellfish.4899,181,IE_0870,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,518.53806312,At sea,POINT (-9.62842215299997 53.792238303),F53,Oysters,n.a.,128,-9.62842215299997,53.792238303
shellfish.4900,182,IE_0871,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,103.84177692,At sea,POINT (-9.62843747899996 53.788389346),F53,Oysters,n.a.,128,-9.62843747899996,53.788389346
shellfish.4901,1627,IE_0872,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,401.4568294,At sea,POINT (-9.63365140699995 53.7948311260001),F53,Oysters,n.a.,128,-9.63365140699995,53.7948311260001
shellfish.4902,1628,IE_0874,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,172.02991666,At sea,POINT (-9.94831317599994 53.984284707),F53,Oysters,n.a.,128,-9.94831317599994,53.984284707
shellfish.4903,1629,IE_0875,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,62.66424694,At sea,POINT (-9.95153032699994 53.969225614),F53,Oysters,n.a.,128,-9.95153032699994,53.969225614
shellfish.4904,1630,IE_0876,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,76.2689327,At sea,POINT (-9.61837296899995 53.7866386590001),F53,Oysters,n.a.,128,-9.61837296899995,53.7866386590001
shellfish.4908,745,IE_0879,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,47.08488197,At sea,POINT (-8.46664357299994 51.7097621130001),F53,Oysters,n.a.,128,-8.46664357299994,51.7097621130001
shellfish.4909,170,IE_0880,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,39.96917005,At sea,POINT (-8.47421645899993 51.711296012),F53,Oysters,n.a.,128,-8.47421645899993,51.711296012
shellfish.4911,1632,IE_0882,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,87.35451435,At sea,POINT (-8.57535771099998 54.2789719150001),F53,Oysters,n.a.,128,-8.57535771099998,54.2789719150001
shellfish.4912,1633,IE_0883,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,168.48401219,At sea,POINT (-8.40153356299993 54.6308053480001),F53,Oysters,n.a.,128,-8.40153356299993,54.6308053480001
shellfish.4913,1549,IE_0885,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,99.43711969,At sea,POINT (-9.87228945399994 54.0049890000001),F53,Oysters,n.a.,128,-9.87228945399994,54.0049890000001
shellfish.4914,1550,IE_0886,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,88.82902912,At sea,POINT (-9.86599521399995 54.0044463470001),F53,Oysters,n.a.,128,-9.86599521399995,54.0044463470001
shellfish.4915,1548,IE_0887,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,651.11847554,At sea,POINT (-8.54222374399995 54.297029223),F53,Oysters,n.a.,128,-8.54222374399995,54.297029223
shellfish.4916,1555,IE_0888,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,736.50660754,At sea,POINT (-8.54921596199995 54.2973459680001),F53,Oysters,n.a.,128,-8.54921596199995,54.2973459680001
shellfish.4917,1556,IE_0889,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,531.66426977,At sea,POINT (-8.55635443299997 54.2971190920001),F53,Oysters,n.a.,128,-8.55635443299997,54.2971190920001
shellfish.4918,1557,IE_0890,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,88.36894207,At sea,POINT (-9.91874409399998 53.91906435),F53,Oysters,n.a.,128,-9.91874409399998,53.91906435
shellfish.4919,1558,IE_0891,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,77.34347623,At sea,POINT (-9.85074619799997 53.9935713950001),F53,Oysters,n.a.,128,-9.85074619799997,53.9935713950001
shellfish.4920,1552,IE_0892,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,207.5205264,At sea,POINT (-9.85002551699995 53.973381342),F53,Oysters,n.a.,128,-9.85002551699995,53.973381342
shellfish.4921,1553,IE_0894,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,229.97865837,At sea,POINT (-8.37319253999993 54.8980985490001),F53,Oysters,n.a.,128,-8.37319253999993,54.8980985490001
shellfish.4922,1554,IE_0895,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,157.23188713,At sea,POINT (-8.37687693999993 54.9006827970001),F53,Oysters,n.a.,128,-8.37687693999993,54.9006827970001
shellfish.4923,1535,IE_0896,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,248.02826018,At sea,POINT (-8.37412385199997 54.900571934),F53,Oysters,n.a.,128,-8.37412385199997,54.900571934
shellfish.4926,1545,IE_0899,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,161.9150461,At sea,POINT (-9.91747932399994 53.9215525490001),F53,Oysters,n.a.,128,-9.91747932399994,53.9215525490001
shellfish.4927,1538,IE_0900,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,171.05351738,At sea,POINT (-9.91893667199997 53.920136493),F53,Oysters,n.a.,128,-9.91893667199997,53.920136493
shellfish.4928,1540,IE_0901,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,127.73309577,At sea,POINT (-10.191472312 51.9604131820001),F53,Oysters,n.a.,128,-10.191472312,51.9604131820001
shellfish.4930,1580,IE_0903,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,359.37970746,At sea,POINT (-8.34210917399997 54.8845520290001),F53,Oysters,n.a.,128,-8.34210917399997,54.8845520290001
shellfish.4931,1581,IE_0904,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,290.99188716,At sea,POINT (-8.32315801499993 54.884167018),F53,Oysters,n.a.,128,-8.32315801499993,54.884167018
shellfish.4932,1582,IE_0905,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,448.99588923,At sea,POINT (-8.33270839899996 54.884542923),F53,Oysters,n.a.,128,-8.33270839899996,54.884542923
shellfish.4933,1578,IE_0906,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,211.57309153,At sea,POINT (-9.66884382099994 53.8834193800001),F53,Oysters,n.a.,128,-9.66884382099994,53.8834193800001
